key,english,draft,reviewer_edit,note
common.mark.home,"troid, home",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
common.mark.ledger,troid's ledger,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
common.mark.live,troid's ledger is live: last shadow run {time} UTC,,,"NEW: translate it in reviewer_edit | keep {time} exactly as written; troid stays lowercase, in Latin letters"
common.mark.still,troid's ledger has had no new data since {time} UTC; its live data may be down,,,"NEW: translate it in reviewer_edit | keep {time} exactly as written; troid stays lowercase, in Latin letters"
common.mark.unknown,troid's ledger: its live status can't be read,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
glossary.hint,Tap any label for what it means.,,,NEW: translate it in reviewer_edit | 
glossary.default,troid's default — change it to yours.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
glossary.also_label,Also called,,,NEW: translate it in reviewer_edit | 
glossary.ex_label,Example,,,NEW: translate it in reviewer_edit | 
glossary.now_label,Now,,,NEW: translate it in reviewer_edit | 
glossary.firm.what,The prop firm whose rules troid applies.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
glossary.firm.ex,choose {firm} and every limit below is {firm}'s.,,,NEW: translate it in reviewer_edit | keep {firm} exactly as written
glossary.challenge.what,The evaluation you bought.,,,NEW: translate it in reviewer_edit | 
glossary.challenge.also,"evaluation, assessment, program, phase, step",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.challenge.ex,"{firm} ""{product}"" is a single phase with a {target}% target (read {date}).",,,NEW: translate it in reviewer_edit | keep {date} {firm} {product} {target} exactly as written
glossary.quota.what,The size of the account you bought. Every percentage rule is measured from it.,,,NEW: translate it in reviewer_edit | 
glossary.quota.also,"account size, initial balance, starting balance, funded amount",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.quota.ex,"a $100,000 challenge → enter 100000.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.equity.what,"What the account is worth right now, including open trades.",,,NEW: translate it in reviewer_edit | 
glossary.equity.also,"account equity, current equity, floating balance, NAV",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.equity.ex,"balance 101,200 with an open trade down 300 → equity 100,900. Firms count that open loss.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.daystart.what,Your balance when the firm's trading day began. Daily limits are measured from here.,,,NEW: translate it in reviewer_edit | 
glossary.daystart.also,"start-of-day balance, daily starting balance",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.daystart.ex,"you ended the last trading day at 100,900 with nothing open → day start 100,900. (The reset time is on each firm's column in <a href=""{L}/compare"">troid's compare</a>.)",,,"NEW: translate it in reviewer_edit | keep {L} exactly as written; keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
glossary.hirollover.what,"The higher of your balance and your equity when the firm's trading day rolled over. Where a firm measures the daily limit from it, the daily floor sits a fixed amount below it.",,,NEW: translate it in reviewer_edit | 
glossary.hirollover.also,"daily high, max(balance, equity) at the reset",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.hirollover.ex,"balance 100,900 and equity 101,300 at the reset → 101,300.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.hirollover.formula,daily floor = high at rollover − quota × daily %,,,NEW: translate it in reviewer_edit | 
glossary.hwm.what,The highest your account has reached. On trailing-drawdown products the floor follows it up.,,,NEW: translate it in reviewer_edit | 
glossary.hwm.also,"high watermark, peak balance, HWM",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.hwm.ex,"the account reached 104,000, then fell back to 102,500 → the high-water mark is still 104,000.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.hwm.formula,trailing floor = high-water mark − quota × max %,,,NEW: translate it in reviewer_edit | 
glossary.side.what,"Long: you buy, and profit if price rises. Short: you sell, and profit if it falls.",,,NEW: translate it in reviewer_edit | 
glossary.side.also,buy / sell,,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.side.note,"Not the same as calls and puts. Those are options: you pay a premium for the right to buy (call) or sell (put) later, and the most you can lose is the premium. troid's desk sizes positions where the loss grows with every move against you until the stop — it doesn't model options.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
glossary.entry.what,The price you open at.,,,NEW: translate it in reviewer_edit | 
glossary.entry.also,"entry price, open price, fill",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.entry.ex,"77,872.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.entry.chip,"For crypto, tap the live price under the field to use it.",,,NEW: translate it in reviewer_edit | 
glossary.stop.what,"The price where you'd close to cap the loss. Below entry for a long, above it for a short.",,,NEW: translate it in reviewer_edit | 
glossary.stop.also,"stop-loss, SL",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.stop.ex,"long at 77,872, stop at 74,814 → 3,058 below entry.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.target_r.what,Your profit target as a multiple of your stop distance.,,,NEW: translate it in reviewer_edit | 
glossary.target_r.also,"take-profit (TP), reward-to-risk, R:R, R-multiple",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.target_r.ex,"stop 3,058 below 77,872, target 2 → 77,872 + 2 × 3,058 = 83,988.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.target_r.formula,target = entry ± target R × stop distance,,,NEW: translate it in reviewer_edit | 
glossary.risk_pct.what,How much of your account you'd lose if the stop is hit.,,,NEW: translate it in reviewer_edit | 
glossary.risk_pct.also,"risk per trade, position risk",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.risk_pct.ex,"0.5 on equity of 100,000 → $500 at the stop.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.risk_pct.formula,risk = equity × risk %,,,NEW: translate it in reviewer_edit | 
glossary.cap_pct.what,"troid's own safety rule, not a firm's: one trade may use at most this share of the room left before your nearest limit.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
glossary.cap_pct.ex,"$4,000 of room at 35 → no single trade risks more than $1,400. After losses the room shrinks, so each trade shrinks with it instead of breaching the floor.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.cap_pct.formula,risk ≤ room × budget cap %,,,NEW: translate it in reviewer_edit | 
glossary.leverage.what,How much position each dollar of margin controls. It changes margin and liquidation distance — not the loss at your stop.,,,NEW: translate it in reviewer_edit | 
glossary.leverage.also,"5x, 1:5, margin multiplier",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed; keep every number exactly
glossary.leverage.ex,"a $12,478 position at 5× ties up $2,496 of margin. At 2× it ties up $6,239 — same loss at the stop either way.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.leverage.formula,margin = notional ÷ leverage,,,NEW: translate it in reviewer_edit | 
glossary.mode.what,Cross: your whole account backs every position. Isolated: each position has its own margin and can be liquidated on its own.,,,NEW: translate it in reviewer_edit | 
glossary.mode.also,cross margin / shared margin; isolated margin / position margin,,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.mode.ex,"under cross at 5× with a normal stop, the firm's loss floor is reached long before the exchange would liquidate — so the stop is the only thing in front of the floor.",,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.asset.what,What you're trading. It sets the firm's hold limit and whether the firm lists it; the size troid computes is the same for every asset.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
glossary.asset.also,"symbol, instrument, pair, market",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.verdict.what,"OK, REDUCE or BLOCK — whether your trade fits, was cut to fit, or can't be sized.",,,NEW: translate it in reviewer_edit | 
glossary.binding.what,Whichever limit is closer right now: the daily limit or the max-loss floor. The one that would stop you first.,,,NEW: translate it in reviewer_edit | 
glossary.binding.also,"binding limit, nearest limit",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.binding.live,"{daily} of room before the daily limit, {dd} before the max-loss floor: the {bind} is closer.",,,NEW: translate it in reviewer_edit | keep {bind} {daily} {dd} exactly as written
glossary.crossover.what,"Crossover: the equity where the two limits swap which one binds, on products with a static floor and a daily limit fixed from the starting balance.",,,NEW: translate it in reviewer_edit | 
glossary.crossover.ex,"{firm} {product}: $100,000 × (1 − {max}% + {daily}%) = {x}.",,,NEW: translate it in reviewer_edit | keep {daily} {firm} {max} {product} {x} exactly as written; keep every number exactly
glossary.crossover.formula,quota × (1 − max% + daily%),,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.room.what,Dollars between your equity and the binding ceiling.,,,NEW: translate it in reviewer_edit | 
glossary.room.also,"headroom, remaining drawdown",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.room.formula,room = equity − floor,,,NEW: translate it in reviewer_edit | 
glossary.room.live,{eq} equity − {floor} floor = {room}.,,,NEW: translate it in reviewer_edit | keep {eq} {floor} {room} exactly as written
glossary.size.what,"How much of the asset to buy or sell. Under it, the notional: the position's full value.",,,NEW: translate it in reviewer_edit | 
glossary.size.also,"position size, quantity, units, lots; notional: position value, exposure",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.size.formula,size = risk ÷ (stop distance + round-trip fee per unit),,,NEW: translate it in reviewer_edit | 
glossary.size.live,{risk} ÷ ({dist} + {fu}) = {qty}; {qty} × {entry} = {notional}.,,,NEW: translate it in reviewer_edit | keep {dist} {entry} {fu} {notional} {qty} {risk} exactly as written
glossary.margin.what,What's set aside for the position while it's open. The notional is its full value.,,,NEW: translate it in reviewer_edit | 
glossary.margin.also,"initial margin, used margin, collateral",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.margin.formula,margin = notional ÷ leverage,,,NEW: translate it in reviewer_edit | 
glossary.margin.live,{notional} ÷ {lev}× = {margin}.,,,NEW: translate it in reviewer_edit | keep {lev} {margin} {notional} exactly as written
glossary.risk.what,"What you'd lose at the stop, fees included: your risk %, cut to troid's cap when it's above it.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
glossary.risk.also,"risk per trade, 1R",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed; keep every number exactly
glossary.risk.formula,"risk = min(equity × risk %, room × budget cap %)",,,NEW: translate it in reviewer_edit | 
glossary.risk.live,the smaller of {intended} and {cap}: {risk}.,,,NEW: translate it in reviewer_edit | keep {cap} {intended} {risk} exactly as written
glossary.fees.what,The share of your risk the exchange takes. Tighter stops make it larger.,,,NEW: translate it in reviewer_edit | 
glossary.fees.also,"commission, trading fees, taker fee",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.fees.formula,2f ÷ (stop % + 2f),,,NEW: translate it in reviewer_edit | keep every number exactly
glossary.fees.live,{fees} of {risk} = {share}.,,,NEW: translate it in reviewer_edit | keep {fees} {risk} {share} exactly as written
glossary.fees.pending,"This product's fee isn't recorded yet, so fees aren't counted.",,,NEW: translate it in reviewer_edit | 
glossary.stopd.what,"How far your stop is from entry, as a share of the entry price. Under it, the price your target R reaches.",,,NEW: translate it in reviewer_edit | 
glossary.stopd.also,"stop distance, SL distance",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.stopd.formula,stop % = |entry − stop| ÷ entry,,,NEW: translate it in reviewer_edit | 
glossary.stopd.live,"{entry} to {stop} is {dist}, {pct} of entry; target {target}.",,,NEW: translate it in reviewer_edit | keep {dist} {entry} {pct} {stop} {target} exactly as written
glossary.budget.what,How much of the room left this one trade would use.,,,NEW: translate it in reviewer_edit | 
glossary.budget.also,share of remaining drawdown,,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.budget.formula,budget used = risk ÷ room,,,NEW: translate it in reviewer_edit | 
glossary.budget.live,{risk} ÷ {room} = {pct}.,,,NEW: translate it in reviewer_edit | keep {pct} {risk} {room} exactly as written
glossary.left.what,How many losses of this size before the binding limit trips.,,,NEW: translate it in reviewer_edit | 
glossary.left.formula,floor(room ÷ risk),,,NEW: translate it in reviewer_edit | 
glossary.left.live,{room} ÷ {risk} → {left}.,,,NEW: translate it in reviewer_edit | keep {left} {risk} {room} exactly as written
glossary.breakers.what,"Everything that can stop a losing trade, in the order it would happen as price moves against you.",,,NEW: translate it in reviewer_edit | 
glossary.daily.what,The most the firm lets you lose in one trading day. Cross it and the account fails.,,,NEW: translate it in reviewer_edit | 
glossary.daily.also,"daily loss limit, daily drawdown",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.daily.live,"floor {floor} ({formula}), {room} below your equity: a {pct} move against this position.",,,NEW: translate it in reviewer_edit | keep {floor} {formula} {pct} {room} exactly as written
glossary.floor.what,The lowest your equity may ever go. Touch it and the account fails. A static floor stays put; a trailing one follows your high-water mark up.,,,NEW: translate it in reviewer_edit | 
glossary.floor.also,"max drawdown, maximum loss, overall loss limit",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.floor.live,"floor {floor} ({formula}), {room} below your equity: a {pct} move against this position.",,,NEW: translate it in reviewer_edit | keep {floor} {formula} {pct} {room} exactly as written
glossary.liq.what,Where the exchange closes the position for lack of margin. Under cross margin at sane sizes the firm's floor comes first.,,,NEW: translate it in reviewer_edit | 
glossary.liq.also,"liquidation price, liq",,,NEW: translate it in reviewer_edit | shown in English on every page: these are the words on the firms' dashboards; no translation needed
glossary.liq.live,a {pct} move against you ({formula}).,,,NEW: translate it in reviewer_edit | keep {formula} {pct} exactly as written
ticker.aria,Prices,,,NEW: translate it in reviewer_edit | 
ticker.credit,Track all markets on TradingView,,,NEW: translate it in reviewer_edit | 
ticker.still,crypto: spot in USDT · {source} · ~15 s,,,NEW: translate it in reviewer_edit | keep {source} exactly as written; keep every number exactly
ticker.pause,pause,,,NEW: translate it in reviewer_edit | 
ticker.play,play,,,NEW: translate it in reviewer_edit | 
ticker.pause_label,Pause the moving strips,,,NEW: translate it in reviewer_edit | 
ticker.play_label,Play the moving strips,,,NEW: translate it in reviewer_edit | 
ticker.sym.XAU,Gold,,,NEW: translate it in reviewer_edit | 
ticker.sym.WTI,WTI oil,,,NEW: translate it in reviewer_edit | 
ticker.delayed,delayed,,,NEW: translate it in reviewer_edit | 
ticker.up,"{sym} {price}, up {chg}% in 24 hours",,,NEW: translate it in reviewer_edit | keep {chg} {price} {sym} exactly as written; keep every number exactly
ticker.down,"{sym} {price}, down {chg}% in 24 hours",,,NEW: translate it in reviewer_edit | keep {chg} {price} {sym} exactly as written; keep every number exactly
ticker.note,"{sym} {price}, spot on {source}. It only fills the entry: the stop, the size and the trade stay yours.",,,NEW: translate it in reviewer_edit | keep {price} {source} {sym} exactly as written
ticker.use,use as entry,,,NEW: translate it in reviewer_edit | 
calendar.aria,Scheduled US releases,,,NEW: translate it in reviewer_edit | 
calendar.empty,Next 7 days: no US releases scheduled.,,,NEW: translate it in reviewer_edit | keep every number exactly
calendar.kind.cpi,CPI,,,NEW: translate it in reviewer_edit | 
calendar.kind.ppi,PPI,,,NEW: translate it in reviewer_edit | 
calendar.kind.jobs,Jobs report,,,NEW: translate it in reviewer_edit | 
calendar.kind.jolts,JOLTS,,,NEW: translate it in reviewer_edit | 
calendar.kind.gdp,GDP,,,NEW: translate it in reviewer_edit | 
calendar.kind.pce,PCE,,,NEW: translate it in reviewer_edit | 
calendar.kind.fomc,FOMC statement,,,NEW: translate it in reviewer_edit | 
calendar.kind.minutes,FOMC minutes,,,NEW: translate it in reviewer_edit | 
calendar.long.cpi,the Consumer Price Index,,,NEW: translate it in reviewer_edit | 
calendar.long.ppi,the Producer Price Index,,,NEW: translate it in reviewer_edit | 
calendar.long.jobs,the Employment Situation,,,NEW: translate it in reviewer_edit | 
calendar.long.jolts,the Job Openings and Labor Turnover Survey,,,NEW: translate it in reviewer_edit | 
calendar.long.gdp,Gross Domestic Product,,,NEW: translate it in reviewer_edit | 
calendar.long.pce,"Personal Income and Outlays, with the PCE price index",,,NEW: translate it in reviewer_edit | 
calendar.long.fomc,the Federal Open Market Committee's statement,,,NEW: translate it in reviewer_edit | 
calendar.long.minutes,the minutes of the Federal Open Market Committee's last meeting,,,NEW: translate it in reviewer_edit | 
calendar.est.advance,advance,,,NEW: translate it in reviewer_edit | 
calendar.est.second,second,,,NEW: translate it in reviewer_edit | 
calendar.est.third,third,,,NEW: translate it in reviewer_edit | 
calendar.before,{t} before {firm}'s reset,,,NEW: translate it in reviewer_edit | keep {firm} {t} exactly as written
calendar.after,{t} after {firm}'s reset,,,NEW: translate it in reviewer_edit | keep {firm} {t} exactly as written
calendar.hm,{h} h {m} m,,,NEW: translate it in reviewer_edit | keep {h} {m} exactly as written
calendar.h,{h} h,,,NEW: translate it in reviewer_edit | keep {h} exactly as written
calendar.m,{m} m,,,NEW: translate it in reviewer_edit | keep {m} exactly as written
calendar.note.what,"{when}: {what}, from {source}.",,,NEW: translate it in reviewer_edit | keep {source} {what} {when} exactly as written
calendar.note.why,troid lists it for one measurement.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
calendar.note.measured,"MEASURED: in Binance.US 4h bars from 2021 to 2026, the bar from 12:00 to 16:00 UTC holds 27% of BTC's widest tenth and 25% of ETH's; an even spread would give 17%.",,,NEW: translate it in reviewer_edit | keep every number exactly
calendar.note.cause,troid hasn't tested whether these releases are the reason.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
calendar.note.inside,This release lands inside that bar.,,,NEW: translate it in reviewer_edit | 
calendar.note.outside,This release lands outside that bar.,,,NEW: translate it in reviewer_edit | 
calendar.note.source,"Source: <a href=""{url}"">{source}'s release schedule</a>, read {date}. troid shows the schedule only, never a forecast.",,,"NEW: translate it in reviewer_edit | keep {date} {source} {url} exactly as written; keep the <…> tags and links as they are; translate only the words; troid stays lowercase, in Latin letters"
og.title,troid — the droid does the prop-firm math. You make the trade.,,,"ENGLISH CHANGED: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
og.tagline,The droid does the prop-firm math. You make the trade.,,,ENGLISH CHANGED: translate it in reviewer_edit | 
index.meta.title,troid's desk — prop-firm position size calculator,,,"ENGLISH CHANGED: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
index.why3.link,why these {n}?,,,NEW: translate it in reviewer_edit | keep {n} exactly as written
index.why3.p,"troid compares {n} firms: {firm}, the reference firm troid verified first, and the {others} crypto firms with the most verified reviews on propfirmmatch. Rankings are reviewed quarterly. A firm is added only after troid has read its terms and help centre rule by rule — that's what makes every number here traceable.",,,"NEW: translate it in reviewer_edit | keep {firm} {n} {others} exactly as written; troid stays lowercase, in Latin letters"
index.why3.how,How firms are chosen →,,,NEW: translate it in reviewer_edit | 
index.why3.ask,"Want another firm? <a href=""{href}"">Ask troid.</a>",,,"NEW: translate it in reviewer_edit | keep {href} exactly as written; keep the <…> tags and links as they are; translate only the words; troid stays lowercase, in Latin letters"
index.why3.ask_q,Can troid add another firm to its compare? The one I'd like is ,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
index.lev.first_one,"5× is the most {firms} allows on crypto, so it's the starting point.",,,NEW: translate it in reviewer_edit | keep {firms} exactly as written; keep every number exactly
